FAA	ICAO	LATITUDE	LONGITITUDE	NAME	CITY	COUNTRY
SCX	MM57	16.2126	-95.2016	Salina Cruz Naval Air Station	Salina Cruz	Mexico
TND	MUTD	21.788461	-79.997203	Alberto Delgado Airport	Trinidad	Cuba
CCC	MUOC	22.5132	-78.511	Cayo Coco Airport	Cayo Coco	Cuba
PAX	MTPX	19.9336	-72.8486	Port-de-Paix Airport	Port-de-Paix	Haiti
JEE	MTJE	18.6631	-74.1703	Jeremie Airport	Jeremie	Haiti
PLD	MRSR	10.25	-85.417	Playa Samara Airport	Playa Samara	Costa Rica
SYQ	MRPV	9.957053	-84.139797	Tobias Bolanos International Airport	San Jose	Costa Rica
PJM	MRPJ	8.53333	-83.3	Puerto Jimenez Airport	Puerto Jimenez	Costa Rica
PBP	MRIA	9.85611	-85.3708	Islita Airport	Nandayure	Costa Rica
TNO	MRCV	10.3557	-85.852892	Cabo Velas Airport	Nicoya	Costa Rica
BCL	MRBC	10.768736	-83.585614	Barra del Colorado Airport	Pococi	Costa Rica
TTQ	MRAO	10.569	-83.5148	Aerotortuguero Airport	Roxana	Costa Rica
PLP	MPLP	8.40667	-78.1417	Captain Ramon Xatruch Airport	La Palma	Panama
JQE	MPJE	7.51778	-78.1572	Jaqué Airport	Jaqué	Panama
ONX	MPEJ	9.35664	-79.8674	Enrique Adolfo Jimenez Airport	Colón	Panama
CTD	MPCE	7.98784	-80.4097	Alonso Valderrama Airport	Chitré	Panama
JAL	MMJA	19.475083	-96.797506	Lencero Airport	Jalapa	Mexico
GUB	MMGR	28.0261	-114.024	Guerrero Negro Airport	Guerrero Negro	Mexico
CUA	MMDA	25.0538	-111.615	Ciudad Constitución Airport	Ciudad Constitución	Mexico
CYW	MMCY	20.545994	-100.88655	Captain Rogelio Castillo National Airport	Celaya	Mexico
MIJ	MLIP	6.08333	171.733	Mili Island Airport	Mili Island	Marshall Islands
PEU	MHPL	15.2622	-83.7812	Puerto Lempira Airport	Puerto Lempira	Honduras
AHS	MHAH	15.4722	-84.3522	Ahuas Airport	Ahuas	Honduras
WTO		10.1733	166.003	Wotho Island Airport	Wotho Island	Marshall Islands
WTE	N36	9.46667	170.233	Wotje Atoll Airport	Wotje Atoll	Marshall Islands
WJA		7.083	171.133	Woja Airport	Majuro Atoll	Marshall Islands
UIT	N55	5.90924	169.637	Jaluit Airport	Jabor Jaluit Atoll	Marshall Islands
RNP		11.1572	166.887	Rongelap Island Airport	Rongelap Island	Marshall Islands
NDK	3N0	5.63167	168.125	Namorik Atoll Airport	Namorik Atoll	Marshall Islands
MJE		7.833	168.167	Majkin Airport	Majkin	Marshall Islands
MJB	Q30	10.2833	170.883	Mejit Atoll Airport	Mejit Atoll	Marshall Islands
MAV		8.70444	171.23	Maloelap Island Airport	Maloelap Island	Marshall Islands
LIK		9.82316	169.308	Likiep Airport	Likiep Island	Marshall Islands
KBT		8.90056	170.844	Kaben Airport	Kaben	Marshall Islands
JEJ		7.56535	168.962	Jeh Airport	Ailinglapalap Atoll	Marshall Islands
JAT		7.45235	168.552	Jabot Airport	Ailinglapalap Atoll	Marshall Islands
BII		11.5225	165.565	Enyu Airfield	Bikini Atoll	Marshall Islands
AUL		8.14528	171.173	Aur Island Airport	Aur Atoll	Marshall Islands
AIM		10.2168	169.983	Ailuk Airport	Ailuk Island	Marshall Islands
UTK	03N	11.222	169.852	Utirik Airport	Utirik Island	Marshall Islands
AAZ	MGQZ	14.8656	-91.502	Quezaltenango Airport	Quezaltenango	Guatemala
PBR	MGPB	15.730878	-88.583767	Puerto Barrios Airport	Puerto Barrios	Guatemala
JBQ	MDJB	18.5725	-69.9856	Dr Joaquin Balaguer International Airport	La Isabela	Dominican Republic
AZS	MDCY	19.267	-69.742	Samaná El Catey International Airport	Samana	Dominican Republic
SLX	MBSY	21.333	-71.2	Salt Cay Airport	Salt Cay	Turks and Caicos Islands
MDS	MBMC	21.833	-71.817	Middle Caicos Airport	Middle Caicos	Turks and Caicos Islands
GDT	MBGT	21.4445	-71.1423	JAGS McCartney International Airport	Cockburn Town	Turks and Caicos Islands
ILZ	LZZI	49.231528	18.6135	Žilina Airport	Žilina	Slovakia
QUB		26.5675	12.8231	Ubari Airport	Ubari	Libya
MRA		32.325	15.061	Misratah Airport	Misratah	Libya
SZF	LTFH	41.2545	36.5671	Samsun-Çarşamba Airport	Samsun	Turkey
EDO	LTFD	39.5546	27.0138	Balikesir Korfez Airport	Balikesir Korfez	Turkey
ISE	LTFC	37.8554	30.3684	Isparta Süleyman Demirel Airport	Isparta	Turkey
ADF	LTCP	37.7314	38.4689	Adiyaman Airport	Adiyaman	Turkey
AJI	LTCO	39.6546	43.0271	Agri Airport	Agri	Turkey
KCM	LTCN	37.539	36.9534	Kahramanmaras Airport	Kahramanmaras	Turkey
SFQ	LTCH	37.094261	38.847103	Sanliurfa Airport	Sanliurfa	Turkey
KSY	LTCF	40.562222	43.115002	Kars Airport	Kars	Turkey
USQ	LTBO	38.681478	29.471675	Usak Airport	Usak	Turkey
BNX	LQBK	44.941444	17.297501	Banja Luka International Airport	Banja Luka	Bosnia and Herzegovina
CVU	LPCR	39.6715	-31.1136	Corvo Airport	Corvo	Portugal
QSR	LIRI	40.6204	14.911294	Salerno Pontecagnano Airport	Salerno	Italy
AOT	LIMW	45.738456	7.368719	Aosta Airport	Aosta	Italy
SOB	LHSM	46.686389	17.159056	Sármellék International Airport	Sármellék	Hungary
QGY	LHPR	47.627097	17.808347	Győr-Pér International Airport	Győr	Hungary
PEV	LHPP	45.990928	18.240983	Pécs-Pogány Airport	Pécs-Pogány	Hungary
JSY	LGSO	37.422792	24.950936	Syros Airport	Syros Island	Greece
LTT	LFTZ	43.2054	6.482	La Môle Airport	La Môle	France
EAP	\N	47.589583	7.529914	EuroAirport	Mulhouse	France
	NZTL	-44	170.28	Tekapo	Lake Tekapo	New Zealand
ANE	LFJR	47.5603	-0.312222	Angers-Loire Airport	Angers/Marcé	France
IDY	LFEY	46.718611	-2.391111	Île d'Yeu Airport	Île d'Yeu	France
RJL	LELO	42.4542	-2.32083	Logroño-Agoncillo Airport	Logroño-Agoncillo	Spain
ECN	LCEN	35.1547	33.4961	Ercan International Airport	Nicosia	Cyprus
YKM	KYKM	46.5682	-120.544	Yakima Air Terminal McAllister Field	Yakima	United States
KWY		-1.96056	41.2975	Kiwayu (Mkononi) Airport	Kiwayu	Kenya
WRL	KWRL	43.9657	-107.951	Worland Municipal Airport	Worland	United States
VLD	KVLD	30.7825	-83.2767	Valdosta Regional Airport	Valdosta	United States
VCT	KVCT	28.8526	-96.9185	Victoria Regional Airport	Victoria	United States
UIN	KUIN	39.9427	-91.1946	Quincy Regional Baldwin Field	Quincy	United States
TUP	KTUP	34.2681	-88.7699	Tupelo Regional Airport	Tupelo	United States
SMX	KSMX	34.8989	-120.457	Santa Maria Pub Cpt G Allan Hancock Airport	Santa Maria	United States
SLN	KSLN	38.791	-97.6522	Salina Municipal Airport	Salina	United States
SLK	KSLK	44.3853	-74.2062	Adirondack Regional Airport	Saranac Lake	United States
SHR	KSHR	44.7692	-106.98	Sheridan County Airport	Sheridan	United States
SBP	KSBP	35.2368	-120.642	San Luis County Regional Airport	San Luis Obispo	United States
RUT	KRUT	43.5294	-72.9496	Rutland State Airport	Rutland	United States
RKS	KRKS	41.5942	-109.065	Rock Springs Sweetwater County Airport	Rock Springs	United States
RHI	KRHI	45.6312	-89.4675	Rhinelander Oneida County Airport	Rhinelander	United States
RDG	KRDG	40.3785	-75.9652	Reading Regional Carl A Spaatz Field	Reading	United States
PSM	KPSM	43.0779	-70.8233	Pease International Tradeport	Portsmouth	United States
PLN	KPLN	45.5709	-84.7967	Pellston Regional Airport of Emmet County Airport	Pellston	United States
PIR	KPIR	44.3827	-100.286	Pierre Regional Airport	Pierre	United States
PIH	KPIH	42.9098	-112.596	Pocatello Regional Airport	Pocatello	United States
PIB	KPIB	31.4671	-89.3371	Hattiesburg Laurel Regional Airport	Hattiesburg/Laurel	United States
OWB	KOWB	37.7401	-87.1668	Owensboro Daviess County Airport	Owensboro	United States
OTH	KOTH	43.4171	-124.246	Southwest Oregon Regional Airport	North Bend	United States
MSL	KMSL	34.7453	-87.6102	Northwest Alabama Regional Airport	Muscle Shoals	United States
MLS	KMLS	46.428	-105.886	Frank Wiley Field	Miles City	United States
MKG	KMKG	43.1695	-86.2382	Muskegon County Airport	Muskegon	United States
LYH	KLYH	37.3267	-79.2004	Lynchburg Regional Preston Glenn Field	Lynchburg	United States
LWT	KLWT	47.0493	-109.467	Lewistown Municipal Airport	Lewistown	United States
LNS	KLNS	40.1217	-76.2961	Lancaster Airport	Lancaster	United States
LMT	KLMT	42.1561	-121.733	Klamath Falls Airport	Klamath Falls	United States
LEB	KLEB	43.6261	-72.3042	Lebanon Municipal Airport	Lebanon	United States
LBF	KLBF	41.1262	-100.684	North Platte Regional Airport Lee Bird Field	North Platte	United States
LBE	KLBE	40.2759	-79.4048	Arnold Palmer Regional Airport	Latrobe	United States
LAR	KLAR	41.3121	-105.675	Laramie Regional Airport	Laramie	United States
JMS	KJMS	46.9297	-98.6782	Jamestown Regional Airport	Jamestown	United States
IRK	KIRK	40.0935	-92.5449	Kirksville Regional Airport	Kirksville	United States
KIO	Q51	5.64452	169.12	Kili Airport	Kili Island	Marshall Islands
HTS	KHTS	38.3667	-82.558	Tri State Milton J Ferguson Field	Huntington	United States
HOT	KHOT	34.478	-93.0962	Memorial Field	Hot Springs	United States
GRI	KGRI	40.9675	-98.3096	Central Nebraska Regional Airport	Grand Island	United States
GGW	KGGW	48.2125	-106.615	Wokal Field Glasgow International Airport	Glasgow	United States
FAY	KFAY	34.9912	-78.8803	Fayetteville Regional Grannis Field	Fayetteville	United States
EWB	KEWB	41.6761	-70.9569	New Bedford Regional Airport	New Bedford	United States
EKO	KEKO	40.8249	-115.792	Elko Regional Airport	Elko	United States
EAU	KEAU	44.8658	-91.4843	Chippewa Valley Regional Airport	Eau Claire	United States
DUJ	KDUJ	41.1783	-78.8987	DuBois Regional Airport	Du Bois	United States
DDC	KDDC	37.7634	-99.9656	Dodge City Regional Airport	Dodge City	United States
CMX	KCMX	47.1684	-88.4891	Houghton County Memorial Airport	Hancock	United States
CLM	KCLM	48.1202	-123.5	William R Fairchild International Airport	Port Angeles	United States
CKB	KCKB	39.2966	-80.2281	Harrison Marion Regional Airport	Clarksburg	United States
CIU	KCIU	46.2508	-84.4724	Chippewa County International Airport	Sault Ste Marie	United States
CGI	KCGI	37.2253	-89.5708	Cape Girardeau Regional Airport	Cape Girardeau	United States
CEC	KCEC	41.7802	-124.237	Del Norte County Airport	Crescent City	United States
BRL	KBRL	40.7832	-91.1255	Southeast Iowa Regional Airport	Burlington	United States
BQK	KBQK	31.2588	-81.4665	Brunswick Golden Isles Airport	Brunswick	United States
BKW	KBKW	37.7873	-81.1242	Raleigh County Memorial Airport	Beckley	United States
BFF	KBFF	41.874	-103.596	Western Nebraska Regional Airport	Scottsbluff	United States
BFD	KBFD	41.8031	-78.6401	Bradford Regional Airport	Bradford	United States
ATY	KATY	44.914	-97.1547	Watertown Regional Airport	Watertown	United States
APN	KAPN	45.0781	-83.5603	Alpena County Regional Airport	Alpena	United States
ALW	KALW	46.0949	-118.288	Walla Walla Regional Airport	Walla Walla	United States
ALO	KALO	42.5571	-92.4003	Waterloo Regional Airport	Waterloo	United States
ALM	KALM	32.8399	-105.991	Alamogordo White Sands Regional Airport	Alamogordo	United States
AHN	KAHN	33.9486	-83.3263	Athens Ben Epps Airport	Athens	United States
ABY	KABY	31.5355	-84.1945	Southwest Georgia Regional Airport	Albany	United States
ABR	KABR	45.4491	-98.4218	Aberdeen Regional Airport	Aberdeen	United States
TQR		42.1025	15.488	San Domino Island Heliport	Tremiti Islands	Italy
GSM		26.9487	56.2688	Gheshm Airport	Gheshm	Iran
DIU	VA1P	20.7131	70.9211	Diu Airport	Diu	India
ULU	HUGU	2.805556	32.271792	Gulu Airport	Gulu	Uganda
RUA	HUAR	3.05	30.917	Arua Airport	Arua	Uganda
TBO	HTTB	-5.07639	32.8333	Tabora Airport	Tabora	Tanzania
SHY	HTSY	-3.667	33.417	Shinyanga Airport	Shinyanga	Tanzania
MUZ	HTMU	-1.483	33.8	Musoma Airport	Musoma	Tanzania
LDI	HTLI	-9.85111	39.7578	Kikwetu Airport	Lindi	Tanzania
TKQ	HTKA	-4.883	29.633	Kigoma Airport	Kigoma	Tanzania
BKZ	HTBU	-1.3	31.8	Bukoba Airport	Bukoba	Tanzania
PZU	HSPN	19.4336	37.2341	Port Sudan New International Airport	Port Sudan	Sudan
